SL Chemistry ,,,,,,,,,,,,,
1,,2,,3,,4,,5,,6,,7,
1,4,"17,18 ",51,29,62,40,74,"52,53 ",85,65-67 ,94,84-89 ,98
2,7,19,52,30,63,41,75,54,86,68-70 ,95,90-95 ,99
3,11,20,53,31,64,42,76,55,87,71-73 ,96,96-100 ,100
4,14,21,54,32,65,43,77,56,88,,,,
5,18,22,55,33,66,44,78,57,89,,,,
6,21,23,56,34,67,45,79,58,90,,,,
7,25,24,57,35,68,46,80,59,91,,,,
8,28,25,58,36,69,47,81,60,92,,,,
9,32,26,59,37,70,48,82,,,,,,
10,35,27,60,38,71,49,83,,,,,,
11,39,,,,,,,,,,,,
12,42,,,,,,,,,,,,
13,46,,,,,,,,,,,,
14,49,,,,,,,,,,,,
SL Business Management ,,,,,,,,,,,,,
1,,2,,,3,4,,5,,6,,7,
IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD ,IB ,OSSD 
1,1,"18,19 ",50,35,61,"46,47 ","72,73 ","57,58 ",84,68-70 ,93,78- 85 ,97
2,3,"20,21 ",51,36,62,48,"74,75 ","59,60 ",85,71-73 ,94,86-92 ,98
3,6,"22,23 ",52,37,63,49,76,61,86,74-75 ,95,93-99 ,99
4,9,"24,25 ",53,38,64,50,77,62,87,76-77 ,96,100,100
5,13,"26,27 ",54,39,65,51,78,63,88,,,,
6,16,"28,29 ",55,40,66,52,79,64,89,,,,
7,19,30,56,41,67,53,80,65,90,,,,
8,22,31,57,42,68,54,81,66,91,,,,
9,25,32,58,43,69,55,82,67,92,,,,
10,28,33,59,44,70,56,83,,,,,,
11,31,34,60,45,71,,,,,,,,
12,34,,,,,,,,,,,,
13,37,,,,,,,,,,,,
14,40,,,,,,,,,,,,
15,43,,,,,,,,,,,,
16,46,,,,,,,,,,,,
17,49,,,,,,,,,,,,
